apn,neighborhood,time_to_construction,units
1641026,Inner Richmond,361.0,2.0
1642036,Inner Richmond,2933.0,2.0
1659030,Outer Richmond,763.0,2.0
1684002I,Outer Richmond,0.0,2.0
1686016,Outer Richmond,264.0,2.0
1686033,Outer Richmond,0.0,1.0
1707047,Sunset/Parkside,0.0,1.0
1710006,Sunset/Parkside,468.0,1.0
1729012,Sunset/Parkside,1024.0,2.0
1731014,Sunset/Parkside,524.0,2.0
1736033,Inner Sunset,1227.0,2.0
1742043,Inner Sunset,1071.0,15.0
1775044,Sunset/Parkside,452.0,2.0
1789022,Sunset/Parkside,291.0,2.0
1800010A,Sunset/Parkside,0.0,2.0
1805006,Sunset/Parkside,880.0,2.0
1811031,Sunset/Parkside,174.0,2.0
1854016A,Inner Sunset,269.0,2.0
1857036,Inner Sunset,672.0,2.0
1857037,Inner Sunset,676.0,2.0
1893038,Sunset/Parkside,589.0,1.0
1901012,Sunset/Parkside,462.0,2.0
1932022,Inner Sunset,358.0,2.0
1933041,Inner Sunset,719.0,2.0
2038A018,Inner Sunset,948.0,1.0
2038A019,Inner Sunset,923.0,1.0
2040001,Inner Sunset,312.0,6.0
2094005,Sunset/Parkside,0.0,0.0
2117001,Inner Sunset,414.0,2.0
2162031,Sunset/Parkside,402.0,2.0
2184034,Sunset/Parkside,299.0,2.0
2205035,West of Twin Peaks,593.0,1.0
226007,Chinatown,0.0,2.0
2317016G,Sunset/Parkside,222.0,2.0
2362019,Sunset/Parkside,671.0,3.0
2381027A,Sunset/Parkside,329.0,2.0
2393042,Sunset/Parkside,349.0,2.0
2406037,Sunset/Parkside,579.0,1.0
2416002H,West of Twin Peaks,287.0,1.0
2451002D,Sunset/Parkside,329.0,2.0
2476034,Sunset/Parkside,275.0,2.0
25017,Russian Hill,363.0,1.0
2515001,Sunset/Parkside,2693.0,56.0
258033,Financial District,395.0,0.0
26030,Russian Hill,0.0,3.0
2620119,Castro/Upper Market,1089.0,2.0
2625007A,Castro/Upper Market,1120.0,2.0
2628026,Castro/Upper Market,1601.0,2.0
2657004,Castro/Upper Market,726.0,1.0
2688072,Inner Sunset,1502.0,2.0
269028,Financial District,500.0,0.0
2691019,Castro/Upper Market,618.0,3.0
2700012,Castro/Upper Market,1369.0,2.0
2706035,Twin Peaks,576.0,1.0
2716033,Twin Peaks,610.0,1.0
2716056,Castro/Upper Market,0.0,2.0
2750035,Castro/Upper Market,310.0,2.0
2778013,Twin Peaks,1094.0,2.0
2799013,Twin Peaks,0.0,3.0
2802006,Noe Valley,307.0,1.0
2804041,Noe Valley,720.0,2.0
281003,Nob Hill,21.0,27.0
2821010,Twin Peaks,1110.0,1.0
2821023,Twin Peaks,1110.0,1.0
2829010,Noe Valley,1115.0,1.0
2830004,Noe Valley,231.0,2.0
2861011,West of Twin Peaks,1910.0,1.0
2864029A,West of Twin Peaks,617.0,1.0
2901C001,West of Twin Peaks,219.0,0.0
2923008,West of Twin Peaks,0.0,1.0
2936A026,West of Twin Peaks,329.0,2.0
297009,Nob Hill,0.0,17.0
2979A021A,West of Twin Peaks,1411.0,0.0
2979A029,West of Twin Peaks,527.0,0.0
2987A036,West of Twin Peaks,716.0,1.0
2993088,West of Twin Peaks,804.0,1.0
300015,Nob Hill,296.0,3.0
3027A001,West of Twin Peaks,842.0,3.0
3094055,West of Twin Peaks,592.0,2.0
3158033,West of Twin Peaks,462.0,2.0
3180001,West of Twin Peaks,1516.0,71.0
3185023,West of Twin Peaks,1404.0,1.0
3196010,West of Twin Peaks,223.0,
3197010,West of Twin Peaks,2664.0,13.0
3211009,Outer Mission,10.0,5.0
3211010A,Outer Mission,2709.0,6.0
339006,Tenderloin,0.0,9.0
3507039,South of Market,956.0,190.0
3507041,South of Market,0.0,754.0
3507042,South of Market,2155.0,167.0
3509005,South of Market,1091.0,10.0
3509043,South of Market,1279.0,180.0
3510001,South of Market,2442.0,156.0
3513008,Mission,122.0,76.0
3516005,Mission,666.0,16.0
3518004,South of Market,22.0,1.0
3518006,South of Market,2190.0,15.0
3518007,South of Market,0.0,2.0
3526005,South of Market,944.0,12.0
3532091,Mission,1520.0,0.0
3533165,Mission,1136.0,3.0
3534069,Mission,1373.0,47.0
3535001,Castro/Upper Market,607.0,82.0
3537078,Castro/Upper Market,611.0,3.0
3538096,Castro/Upper Market,658.0,3.0
3540023,Castro/Upper Market,0.0,3.0
3542039,Castro/Upper Market,1170.0,
3543011,Castro/Upper Market,698.0,88.0
3547002A,Mission,432.0,194.0
3548001,Mission,1162.0,0.0
3548032,Mission,1302.0,39.0
3549064,Mission,951.0,23.0
3553054,Mission,1449.0,40.0
3554027,Mission,119.0,16.0
3555036,Mission,1252.0,8.0
3555056,Mission,517.0,52.0
3558029,Castro/Upper Market,548.0,3.0
3568068,Mission,674.0,3.0
3575063,Mission,2134.0,3.0
3575070,Mission,937.0,27.0
3576018,Mission,742.0,3.0
3576039,Mission,1375.0,3.0
3576090,Mission,924.0,16.0
3581012,Castro/Upper Market,714.0,2.0
3583082,Castro/Upper Market,1906.0,2.0
3584007,Castro/Upper Market,752.0,2.0
3594009,Mission,133.0,4.0
3596017A,Mission,0.0,2.0
3596059,Mission,296.0,2.0
3596113,Mission,1377.0,18.0
3598068,Mission,976.0,3.0
3610032,Mission,2237.0,2.0
3612055,Mission,1515.0,3.0
3613018B,Mission,1947.0,3.0
3616007,Mission,603.0,114.0
3617008,Mission,1873.0,15.0
3618071,Mission,6.0,3.0
3619039,Noe Valley,333.0,2.0
3621030,Noe Valley,202.0,2.0
3638018,Mission,1412.0,3.0
3639002,Mission,596.0,20.0
3639004A,Mission,722.0,3.0
3641076,Mission,1047.0,2.0
3650028,Noe Valley,423.0,3.0
3651017,Noe Valley,1041.0,4.0
3701064,South of Market,839.0,273.0
3702046,South of Market,1038.0,
3702052,South of Market,433.0,418.0
3702308,South of Market,129.0,550.0
3702391,South of Market,,550.0
3703012,South of Market,1266.0,67.0
3703086,South of Market,3711.0,47.0
3704015,South of Market,961.0,
3704022,South of Market,375.0,0.0
3704069,South of Market,0.0,100.0
3704071,South of Market,1957.0,0.0
3705039,South of Market,175.0,116.0
3710017,Financial District,1381.0,0.0
3717019,Financial District,98.0,0.0
3718025,Financial District,308.0,0.0
3719010,Financial District,3240.0,140.0
3720001,Financial District,2808.0,0.0
3721122,Financial District,932.0,0.0
3722027,Financial District,1435.0,0.0
3722367,Financial District,391.0,0.0
3723115,South of Market,1050.0,
3725101,South of Market,1473.0,55.0
3726047,South of Market,177.0,14.0
3727035,South of Market,713.0,3.0
3731001,South of Market,1856.0,67.0
3731003,South of Market,952.0,76.0
3731119,South of Market,649.0,1.0
3732008,South of Market,1034.0,182.0
3732009,South of Market,1164.0,282.0
3732071,South of Market,3725.0,25.0
3735063,Financial District,2804.0,0.0
3736074,Financial District,1261.0,403.0
3736078A,Financial District,610.0,418.0
3736114,Financial District,650.0,0.0
3738004,Financial District,905.0,479.0
3746001,Financial District,1344.0,806.0
3747019,Financial District,366.0,88.0
3747320,Financial District,3443.0,452.0
3749059,Financial District,1764.0,320.0
3749064,Financial District,559.0,120.0
3752019,South of Market,2881.0,26.0
3753021,South of Market,132.0,4.0
3753076,South of Market,881.0,3.0
3753096,South of Market,738.0,22.0
3753106,South of Market,1042.0,115.0
3753314,South of Market,86.0,15.0
3755096,South of Market,816.0,6.0
3755101,South of Market,470.0,2.0
3756003,South of Market,3107.0,416.0
3756025,South of Market,2624.0,3.0
3763017,Financial District,1099.0,0.0
3765015,Financial District,3219.0,340.0
3766009,Financial District,125.0,308.0
3774026,Financial District,1274.0,
3775031,Financial District,1310.0,2.0
3776092,South of Market,2483.0,19.0
3783001,South of Market,1399.0,
3786018,South of Market,900.0,0.0
3788039,Financial District,2468.0,0.0
3789003,Financial District,1503.0,74.0
3794002A,Mission Bay,98.0,14.0
3794024,Mission Bay,1813.0,132.0
3833001,Mission Bay,1329.0,470.0
3833002,Mission Bay,1575.0,393.0
3911001,Mission Bay,1386.0,560.0
3962008,Mission,1266.0,75.0
3965001,Mission,1166.0,12.0
3973002C,Mission,1196.0,84.0
3980007,Potrero Hill,772.0,20.0
3985024,Potrero Hill,946.0,9.0
3994001B,Potrero Hill,0.0,97.0
4003006,Potrero Hill,897.0,3.0
4004024,Potrero Hill,1387.0,3.0
4004034,Potrero Hill,1096.0,3.0
4009008A,Potrero Hill,0.0,2.0
4022022,Mission,1258.0,4.0
4040025,Potrero Hill,1010.0,2.0
4041009,Potrero Hill,814.0,121.0
4045002,Potrero Hill,918.0,106.0
4058008,Potrero Hill,494.0,16.0
4058010,Potrero Hill,127.0,196.0
4067009A,Potrero Hill,23.0,2.0
4084018,Mission,642.0,1.0
4085010,Mission,404.0,2.0
4085026,Mission,282.0,2.0
4088030,Mission,363.0,2.0
4093007,Potrero Hill,1022.0,2.0
4094024,Potrero Hill,1158.0,3.0
4096005,Potrero Hill,0.0,2.0
4102026,Potrero Hill,1055.0,94.0
4102052,Potrero Hill,0.0,2.0
4142030,Mission,424.0,2.0
4145012,Mission,852.0,3.0
4145029,Mission,1038.0,2.0
4146019,Mission,1086.0,3.0
4149019,Mission,731.0,2.0
4152016,Mission,0.0,2.0
4152046,Mission,0.0,2.0
4154001,Mission,1435.0,0.0
4158002,Potrero Hill,211.0,2.0
4172006,Potrero Hill,1054.0,1.0
4172022,Potrero Hill,1079.0,300.0
4172053,Potrero Hill,1871.0,8.0
4210013,Mission,1255.0,2.0
4219003,Potrero Hill,0.0,1.0
4228158,Potrero Hill,2357.0,81.0
4229004,Potrero Hill,286.0,0.0
4264007,Mission,719.0,3.0
4266013,Mission,0.0,3.0
4271008,Mission,711.0,2.0
4271034,Mission,652.0,2.0
4274001,Mission,683.0,3.0
4282A023,Potrero Hill,881.0,2.0
4352007,Bayview Hunters Point,3090.0,0.0
4591C001,Bayview Hunters Point,108.0,463.0
4591C042,Bayview Hunters Point,700.0,63.0
4591C045,Bayview Hunters Point,887.0,9.0
4591C046,Bayview Hunters Point,885.0,9.0
4591C057,Unknown,909.0,9.0
4591C059,Unknown,909.0,9.0
4591C068,Bayview Hunters Point,888.0,9.0
4591C069,Bayview Hunters Point,1145.0,12.0
4591C070,Bayview Hunters Point,889.0,9.0
4591C082,Bayview Hunters Point,371.0,36.0
4591C093,Bayview Hunters Point,555.0,25.0
4591C094,Bayview Hunters Point,1043.0,12.0
4591C095,Bayview Hunters Point,969.0,35.0
4591C098,Bayview Hunters Point,1137.0,12.0
4591C099,Bayview Hunters Point,1004.0,34.0
4624004,Bayview Hunters Point,405.0,52.0
4788017,Bayview Hunters Point,252.0,2.0
4884025,Bayview Hunters Point,803.0,10500.0
4912002,Bayview Hunters Point,0.0,2.0
4976019,Bayview Hunters Point,0.0,1.0
4991277,Bayview Hunters Point,0.0,198.0
512026,Marina,477.0,21.0
519029,Marina,0.0,2.0
5253001,Bayview Hunters Point,1091.0,0.0
5258026,Bayview Hunters Point,567.0,1.0
5258027,Bayview Hunters Point,570.0,1.0
5260002,Bayview Hunters Point,354.0,7.0
5260003,Bayview Hunters Point,354.0,7.0
5279033,Bayview Hunters Point,0.0,0.0
5281003,Bayview Hunters Point,531.0,0.0
5297023,Bayview Hunters Point,430.0,2.0
5306025,Bayview Hunters Point,1014.0,2.0
5312018,Bayview Hunters Point,1697.0,2.0
5319028,Bayview Hunters Point,316.0,2.0
5319037,Bayview Hunters Point,803.0,2.0
